car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase
1,3,alfa-romero giulia,gas,std,two,convertible,rwd,front,88.6
2,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,88.6
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,94.5
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,99.8
5,2,audi 100ls,gas,std,four,sedan,4wd,front,99.4
6,2,audi fox,gas,std,two,sedan,fwd,front,99.8
7,1,audi 100ls,gas,std,four,sedan,fwd,front,105.8
8,1,audi 5000,gas,std,four,wagon,fwd,front,105.8
9,1,audi 4000,gas,turbo,four,sedan,fwd,front,105.8
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.5
11,2,bmw 320i,gas,std,two,sedan,rwd,front,101.2
12,0,bmw 320i,gas,std,four,sedan,rwd,front,101.2
13,0,bmw x1,gas,std,two,sedan,rwd,front,101.2
14,0,bmw x3,gas,std,four,sedan,rwd,front,101.2
15,1,bmw z4,gas,std,four,sedan,rwd,front,103.5
16,0,bmw x4,gas,std,four,sedan,rwd,front,103.5
17,0,bmw x5,gas,std,two,sedan,rwd,front,103.5
18,0,bmw x3,gas,std,four,sedan,rwd,front,110
19,2,chevrolet impala,gas,std,two,hatchback,fwd,front,88.4
20,1,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,94.5
21,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,94.5
22,1,dodge rampage,gas,std,two,hatchback,fwd,front,93.7
23,1,dodge challenger se,gas,std,two,hatchback,fwd,front,93.7
24,1,dodge d200,gas,turbo,two,hatchback,fwd,front,93.7
25,1,dodge monaco (sw),gas,std,four,hatchback,fwd,front,93.7
26,1,dodge colt hardtop,gas,std,four,sedan,fwd,front,93.7
27,1,dodge colt (sw),gas,std,four,sedan,fwd,front,93.7
28,1,dodge coronet custom,gas,turbo,two,sedan,fwd,front,93.7
29,-1,dodge dart custom,gas,std,four,wagon,fwd,front,103.3
30,3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,95.9
31,2,honda civic,gas,std,two,hatchback,fwd,front,86.6
32,2,honda civic cvcc,gas,std,two,hatchback,fwd,front,86.6
33,1,honda civic,gas,std,two,hatchback,fwd,front,93.7
34,1,honda accord cvcc,gas,std,two,hatchback,fwd,front,93.7
35,1,honda civic cvcc,gas,std,two,hatchback,fwd,front,93.7
36,0,honda accord lx,gas,std,four,sedan,fwd,front,96.5
37,0,honda civic 1500 gl,gas,std,four,wagon,fwd,front,96.5
38,0,honda accord,gas,std,two,hatchback,fwd,front,96.5
39,0,honda civic 1300,gas,std,two,hatchback,fwd,front,96.5
40,0,honda prelude,gas,std,four,sedan,fwd,front,96.5
41,0,honda accord,gas,std,four,sedan,fwd,front,96.5
42,0,honda civic,gas,std,four,sedan,fwd,front,96.5
43,1,honda civic (auto),gas,std,two,sedan,fwd,front,96.5
44,0,isuzu MU-X,gas,std,four,sedan,rwd,front,94.3
45,1,isuzu D-Max ,gas,std,two,sedan,fwd,front,94.5
46,0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,94.5
47,2,isuzu D-Max ,gas,std,two,hatchback,rwd,front,96
48,0,jaguar xj,gas,std,four,sedan,rwd,front,113
49,0,jaguar xf,gas,std,four,sedan,rwd,front,113
50,0,jaguar xk,gas,std,two,sedan,rwd,front,102
51,1,maxda rx3,gas,std,two,hatchback,fwd,front,93.1
52,1,maxda glc deluxe,gas,std,two,hatchback,fwd,front,93.1
53,1,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,93.1
54,1,mazda rx-4,gas,std,four,sedan,fwd,front,93.1
55,1,mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1
56,3,mazda 626,gas,std,two,hatchback,rwd,front,95.3
57,3,mazda glc,gas,std,two,hatchback,rwd,front,95.3
58,3,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,95.3
59,3,mazda glc 4,gas,std,two,hatchback,rwd,front,95.3
60,1,mazda 626,gas,std,two,hatchback,fwd,front,98.8
61,0,mazda glc custom l,gas,std,four,sedan,fwd,front,98.8
62,1,mazda glc custom,gas,std,two,hatchback,fwd,front,98.8
63,0,mazda rx-4,gas,std,four,sedan,fwd,front,98.8
64,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8
